nvme-openssl,

"OpenSSL1.1.1 - RSA 4096-bit Performance",
Higher Results Are Better

"ext4",2024.8,2006.7,2005.8
"btrfs",2061.6,2033.8,2031.1
"xfs",2133,2083.5,2074.8
"ntfs",2145,2096.9,2083.9
"f2fs",2199.4,2150.8,2137.8


