nvme-zip,

"7-Zip Compression16.02 - Compress Speed Test",
Higher Results Are Better

"ext4",32877,31348,32127
"btrfs",35457,32636,33062,34064,34810,34496,34081,34229,34258
"xfs",33116,33737,35271,35539,35231,35417,35492,35216,35117
"ntfs",35747,35657,35433
"f2fs",35770,36602,36642


